url=http://127.0.0.1:8000/v1/chat/completions model=deepseek-ai/DeepSeek-V4.1-Flash max_tokens=512 temperature=0.2 runs=3 phase=lail_prose c=1
run=1 {"ttft_s": 0.6118801030002032, "decode_s": 21.53615242099977, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 206, "lail_tok_s": 23.773977356361573, "recipe_tok_s": 23.727543806837428, "tokens_per_chunk": 2.4854368932038833, "acceptance_len": 2.4926829268292683, "draft_acceptance_rate": 0.29853658536585365}
run=2 {"ttft_s": 0.322721300000012, "decode_s": 21.842562540000017, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 214, "lail_tok_s": 23.440473115843467, "recipe_tok_s": 23.394690941789086, "tokens_per_chunk": 2.392523364485981, "acceptance_len": 2.39906103286385, "draft_acceptance_rate": 0.27981220657276995}
run=3 {"ttft_s": 0.41962972399960563, "decode_s": 23.542733642000258, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 229, "lail_tok_s": 21.747686899306863, "recipe_tok_s": 21.705210948331658, "tokens_per_chunk": 2.2358078602620086, "acceptance_len": 2.25, "draft_acceptance_rate": 0.25}
SUMMARY {
  "phase": "lail_prose",
  "concurrency": 1,
  "max_tokens": 512,
  "temperature": 0.2,
  "n": 3,
  "median_lail_tok_s": 23.440473115843467,
  "median_recipe_tok_s": 23.394690941789086,
  "median_ttft_s": 0.41962972399960563,
  "median_completion_tokens": 512,
  "median_acceptance_len": 2.39906103286385,
  "median_draft_acceptance_rate": 0.27981220657276995
}
