url=http://127.0.0.1:8000/v1/chat/completions model=deepseek-ai/DeepSeek-V4.1-Flash max_tokens=512 temperature=0.2 runs=3 phase=lail_prose c=1
run=1 {"ttft_s": 0.330553102074191, "decode_s": 36.1005131410202, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 237, "lail_tok_s": 14.1826238868119, "recipe_tok_s": 14.154923449532971, "tokens_per_chunk": 2.160337552742616, "acceptance_len": 2.1822033898305087, "draft_acceptance_rate": 0.2364406779661017}
run=2 {"ttft_s": 0.34952649590559304, "decode_s": 33.858219396090135, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 221, "lail_tok_s": 15.121882046139866, "recipe_tok_s": 15.0923471202685, "tokens_per_chunk": 2.316742081447964, "acceptance_len": 2.331818181818182, "draft_acceptance_rate": 0.26636363636363636}
run=3 {"ttft_s": 0.46391277702059597, "decode_s": 32.573529731016606, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 213, "lail_tok_s": 15.718284270324936, "recipe_tok_s": 15.68758449635946, "tokens_per_chunk": 2.403755868544601, "acceptance_len": 2.4150943396226414, "draft_acceptance_rate": 0.2830188679245283}
SUMMARY {
  "phase": "lail_prose",
  "concurrency": 1,
  "max_tokens": 512,
  "temperature": 0.2,
  "n": 3,
  "median_lail_tok_s": 15.121882046139866,
  "median_recipe_tok_s": 15.0923471202685,
  "median_ttft_s": 0.34952649590559304,
  "median_completion_tokens": 512,
  "median_acceptance_len": 2.331818181818182,
  "median_draft_acceptance_rate": 0.26636363636363636
}
