url=http://127.0.0.1:8000/v1/chat/completions model=deepseek-ai/DeepSeek-V4.1-Flash max_tokens=512 temperature=0.2 runs=3 phase=lail_prose c=1
run=1 {"ttft_s": 0.7346156149997114, "decode_s": 23.146342641000047, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 221, "lail_tok_s": 22.120125323517584, "recipe_tok_s": 22.07692195374509, "tokens_per_chunk": 2.316742081447964, "acceptance_len": 2.3227272727272728, "draft_acceptance_rate": 0.26454545454545453}
run=2 {"ttft_s": 0.32693179700072506, "decode_s": 25.079192747999514, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 236, "lail_tok_s": 20.4153301561447, "recipe_tok_s": 20.375456464433483, "tokens_per_chunk": 2.169491525423729, "acceptance_len": 2.178723404255319, "draft_acceptance_rate": 0.23574468085106384}
run=3 {"ttft_s": 0.4051702339993426, "decode_s": 23.136707821000527, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 223, "lail_tok_s": 22.12933680803421, "recipe_tok_s": 22.08611544708102, "tokens_per_chunk": 2.295964125560538, "acceptance_len": 2.301801801801802, "draft_acceptance_rate": 0.26036036036036037}
SUMMARY {
  "phase": "lail_prose",
  "concurrency": 1,
  "max_tokens": 512,
  "temperature": 0.2,
  "n": 3,
  "median_lail_tok_s": 22.120125323517584,
  "median_recipe_tok_s": 22.07692195374509,
  "median_ttft_s": 0.4051702339993426,
  "median_completion_tokens": 512,
  "median_acceptance_len": 2.301801801801802,
  "median_draft_acceptance_rate": 0.26036036036036037
}
