url=http://127.0.0.1:8000/v1/chat/completions model=deepseek-ai/DeepSeek-V4.1-Flash max_tokens=512 temperature=0.2 runs=3 phase=lail_prose c=1
run=1 {"ttft_s": 0.3428674110000429, "decode_s": 23.110612061998836, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 217, "lail_tok_s": 22.154324542615214, "recipe_tok_s": 22.11105437749292, "tokens_per_chunk": 2.359447004608295, "acceptance_len": 2.3796296296296298, "draft_acceptance_rate": 0.2759259259259259}
run=2 {"ttft_s": 0.4375318009988405, "decode_s": 26.131226473000424, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 243, "lail_tok_s": 19.593416349171896, "recipe_tok_s": 19.55514795786492, "tokens_per_chunk": 2.1069958847736627, "acceptance_len": 2.1115702479338845, "draft_acceptance_rate": 0.22231404958677686}
run=3 {"ttft_s": 0.44735364000007394, "decode_s": 24.569724205997773, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 232, "lail_tok_s": 20.838654748717712, "recipe_tok_s": 20.797954251161624, "tokens_per_chunk": 2.206896551724138, "acceptance_len": 2.220779220779221, "draft_acceptance_rate": 0.24415584415584415}
SUMMARY {
  "phase": "lail_prose",
  "concurrency": 1,
  "max_tokens": 512,
  "temperature": 0.2,
  "n": 3,
  "median_lail_tok_s": 20.838654748717712,
  "median_recipe_tok_s": 20.797954251161624,
  "median_ttft_s": 0.4375318009988405,
  "median_completion_tokens": 512,
  "median_acceptance_len": 2.220779220779221,
  "median_draft_acceptance_rate": 0.24415584415584415
}
