url=http://127.0.0.1:8000/v1/chat/completions model=deepseek-ai/DeepSeek-V4.1-Flash max_tokens=512 temperature=0.2 runs=10 phase=lail_prose c=1
run=1 {"ttft_s": 0.3171206139959395, "decode_s": 16.513479957007803, "prompt_tokens": 61, "completion_tokens": 512, "finish_reason": "length", "chunks": 264, "lail_tok_s": 31.00497298770289, "recipe_tok_s": 30.944416399836282, "tokens_per_chunk": 1.9393939393939394, "repeat_ratio": 0.0024813895781637717, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. On a DGX Spark with unified memory, every tab that shares the same long system prompt is effectively renting the same prefill artifact \u2014 the prompt's KV states are computed once and th", "acceptance_len": 1.9429657794676807, "draft_acceptance_rate": 0.31432192648922685}
run=2 {"ttft_s": 0.3217393329832703, "decode_s": 15.20855484396452, "prompt_tokens": 61, "completion_tokens": 512, "finish_reason": "length", "chunks": 238, "lail_tok_s": 33.665263087319964, "recipe_tok_s": 33.59951062035254, "tokens_per_chunk": 2.1512605042016806, "repeat_ratio": 0.002364066193853428, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. That inversion matters because it changes what you optimize. In a conventional serving stack, you treat cache occupancy as a tax on the memory budget you already spent on weights, acti", "acceptance_len": 2.1561181434599157, "draft_acceptance_rate": 0.3853727144866385}
run=3 {"ttft_s": 0.3088653879822232, "decode_s": 15.231878203980159, "prompt_tokens": 61, "completion_tokens": 512, "finish_reason": "length", "chunks": 241, "lail_tok_s": 33.61371415550133, "recipe_tok_s": 33.548062370041364, "tokens_per_chunk": 2.12448132780083, "repeat_ratio": 0.002369668246445498, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. On a DGX Spark with unified memory, every tab that shares the same long system prompt is effectively renting the same prefill artifact \u2014 the same block of cached attention state that w", "acceptance_len": 2.1333333333333333, "draft_acceptance_rate": 0.37777777777777777}
run=4 {"ttft_s": 0.3640799809945747, "decode_s": 15.10958520899294, "prompt_tokens": 61, "completion_tokens": 512, "finish_reason": "length", "chunks": 237, "lail_tok_s": 33.88577468660538, "recipe_tok_s": 33.819591532920604, "tokens_per_chunk": 2.160337552742616, "repeat_ratio": 0.004962779156327543, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. On a DGX Spark, unified memory collapses the usual hierarchy \u2014 host DRAM, device VRAM, and the cache tiers between them \u2014 into one addressable pool, so the question of where the KV cac", "acceptance_len": 2.169491525423729, "draft_acceptance_rate": 0.3898305084745763}
run=5 {"ttft_s": 0.35886850900715217, "decode_s": 14.864478827978019, "prompt_tokens": 61, "completion_tokens": 512, "finish_reason": "length", "chunks": 236, "lail_tok_s": 34.44453087963705, "recipe_tok_s": 34.377256405262756, "tokens_per_chunk": 2.169491525423729, "repeat_ratio": 0.0024330900243309003, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. On a DGX Spark, unified memory collapses the usual hierarchy \u2014 host DRAM, device VRAM, and the staging buffers between them \u2014 into one physical pool that both the CPU and the GPU can a", "acceptance_len": 2.174468085106383, "draft_acceptance_rate": 0.39148936170212767}
run=6 {"ttft_s": 0.3548841279698536, "decode_s": 15.66318706900347, "prompt_tokens": 61, "completion_tokens": 512, "finish_reason": "length", "chunks": 245, "lail_tok_s": 32.688111157991464, "recipe_tok_s": 32.624267190886016, "tokens_per_chunk": 2.089795918367347, "repeat_ratio": 0.004761904761904762, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. On a DGX Spark with unified memory, the distinction collapses: the same physical pages that hold the system prompt's encoded states are the pages that feed every subsequent tab's prefi", "acceptance_len": 2.0942622950819674, "draft_acceptance_rate": 0.36475409836065575}
run=7 {"ttft_s": 0.3146228149998933, "decode_s": 15.391082059009932, "prompt_tokens": 61, "completion_tokens": 512, "finish_reason": "length", "chunks": 245, "lail_tok_s": 33.26601716740737, "recipe_tok_s": 33.20104447762728, "tokens_per_chunk": 2.089795918367347, "repeat_ratio": 0.0023752969121140144, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. On a DGX Spark with unified memory, every tab that shares the same long system prompt is effectively renting the same prefix from the same physical pool. The allocator does not hand ou", "acceptance_len": 2.0942622950819674, "draft_acceptance_rate": 0.36475409836065575}
run=8 {"ttft_s": 0.3610302110319026, "decode_s": 16.557325363974087, "prompt_tokens": 61, "completion_tokens": 512, "finish_reason": "length", "chunks": 260, "lail_tok_s": 30.92286880549105, "recipe_tok_s": 30.862472577355323, "tokens_per_chunk": 1.9692307692307693, "repeat_ratio": 0.0024271844660194173, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. That inversion matters because it reorders every downstream decision: what you quantize, what you evict, what you prefetch, and what you refuse to recompute. On a DGX Spark with unifie", "acceptance_len": 1.972972972972973, "draft_acceptance_rate": 0.32432432432432434}
run=9 {"ttft_s": 0.30978787201456726, "decode_s": 14.81843048898736, "prompt_tokens": 61, "completion_tokens": 512, "finish_reason": "length", "chunks": 235, "lail_tok_s": 34.55156741333058, "recipe_tok_s": 34.48408388322642, "tokens_per_chunk": 2.178723404255319, "repeat_ratio": 0.002369668246445498, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. On a DGX Spark with unified memory, every tab that shares the long system prompt is effectively renting the same cached prefix, and the allocator has to decide whether that prefix is a", "acceptance_len": 2.183760683760684, "draft_acceptance_rate": 0.3945868945868946}
run=10 {"ttft_s": 0.30547337798634544, "decode_s": 16.797165323980153, "prompt_tokens": 61, "completion_tokens": 512, "finish_reason": "length", "chunks": 262, "lail_tok_s": 30.48133361341946, "recipe_tok_s": 30.42179975870575, "tokens_per_chunk": 1.9541984732824427, "repeat_ratio": 0.002336448598130841, "collapsed": false, "preview": "The KV cache is the product, not a leftover after util. On a DGX Spark, unified memory collapses the usual hierarchy \u2014 host DRAM, device VRAM, and the cache tiers between them \u2014 into one addressable pool, so the question of where the KV cac", "acceptance_len": 1.9578544061302683, "draft_acceptance_rate": 0.31928480204342274}
natural phase=lail_prose completion_tokens=512 finish_reason=length
SUMMARY {
  "phase": "lail_prose",
  "concurrency": 1,
  "max_tokens": 512,
  "temperature": 0.2,
  "n": 10,
  "median_lail_tok_s": 33.43986566145435,
  "median_recipe_tok_s": 33.37455342383432,
  "median_ttft_s": 0.3194299734896049,
  "median_completion_tokens": 512.0,
  "natural_completion_tokens": 512,
  "natural_finish_reason": "length",
  "post_eos_fraction": 0.0,
  "median_acceptance_len": 2.1137978142076506,
  "median_draft_acceptance_rate": 0.37126593806921676
}
