url=http://127.0.0.1:8000/v1/chat/completions model=deepseek-ai/DeepSeek-V4.1-Flash max_tokens=512 temperature=0.2 runs=3 phase=lail_prose c=1
run=1 {"ttft_s": 0.3586734090004029, "decode_s": 23.788181501999134, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 237, "lail_tok_s": 21.523292982987037, "recipe_tok_s": 21.48125530137964, "tokens_per_chunk": 2.160337552742616, "acceptance_len": 2.169491525423729, "draft_acceptance_rate": 0.23389830508474577}
run=2 {"ttft_s": 0.3199313860004622, "decode_s": 22.011920265998924, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 218, "lail_tok_s": 23.260124233271426, "recipe_tok_s": 23.21469430312832, "tokens_per_chunk": 2.3486238532110093, "acceptance_len": 2.359447004608295, "draft_acceptance_rate": 0.271889400921659}
run=3 {"ttft_s": 0.40598023100028513, "decode_s": 24.264490179999484, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 243, "lail_tok_s": 21.100793637198556, "recipe_tok_s": 21.059581149625906, "tokens_per_chunk": 2.1069958847736627, "acceptance_len": 2.115702479338843, "draft_acceptance_rate": 0.2231404958677686}
SUMMARY {
  "phase": "lail_prose",
  "concurrency": 1,
  "max_tokens": 512,
  "temperature": 0.2,
  "n": 3,
  "median_lail_tok_s": 21.523292982987037,
  "median_recipe_tok_s": 21.48125530137964,
  "median_ttft_s": 0.3586734090004029,
  "median_completion_tokens": 512,
  "median_acceptance_len": 2.169491525423729,
  "median_draft_acceptance_rate": 0.23389830508474577
}
