url=http://127.0.0.1:8000/v1/chat/completions model=deepseek-ai/DeepSeek-V4.1-Flash max_tokens=512 temperature=0.2 runs=3 phase=lail_prose c=1
run=1 {"ttft_s": 0.6110185399957118, "decode_s": 39.44706483399932, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 345, "lail_tok_s": 12.979419436011082, "recipe_tok_s": 12.954069007425122, "tokens_per_chunk": 1.4840579710144928, "acceptance_len": 1.476878612716763, "draft_acceptance_rate": 0.0953757225433526}
run=2 {"ttft_s": 0.4296682019994478, "decode_s": 38.72564410700579, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 345, "lail_tok_s": 13.221213276278984, "recipe_tok_s": 13.195390594098752, "tokens_per_chunk": 1.4840579710144928, "acceptance_len": 1.4840579710144928, "draft_acceptance_rate": 0.09681159420289855}
run=3 {"ttft_s": 0.32581590099289315, "decode_s": 40.08575107100478, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 357, "lail_tok_s": 12.772618357407925, "recipe_tok_s": 12.747671837178611, "tokens_per_chunk": 1.4341736694677871, "acceptance_len": 1.4353932584269664, "draft_acceptance_rate": 0.08707865168539326}
SUMMARY {
  "phase": "lail_prose",
  "concurrency": 1,
  "max_tokens": 512,
  "temperature": 0.2,
  "n": 3,
  "median_lail_tok_s": 12.979419436011082,
  "median_recipe_tok_s": 12.954069007425122,
  "median_ttft_s": 0.4296682019994478,
  "median_completion_tokens": 512,
  "median_acceptance_len": 1.476878612716763,
  "median_draft_acceptance_rate": 0.0953757225433526
}
