url=http://127.0.0.1:8000/v1/chat/completions model=deepseek-ai/DeepSeek-V4.1-Flash max_tokens=512 temperature=0.2 runs=3 phase=lail_prose c=1
run=1 {"ttft_s": 0.32496585400076583, "decode_s": 22.55561256999863, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 225, "lail_tok_s": 22.69945001099259, "recipe_tok_s": 22.65511514768987, "tokens_per_chunk": 2.2755555555555556, "acceptance_len": 2.290178571428571, "draft_acceptance_rate": 0.2580357142857143}
run=2 {"ttft_s": 0.32709120100116706, "decode_s": 24.09881691800183, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 237, "lail_tok_s": 21.245856248550346, "recipe_tok_s": 21.204360435564897, "tokens_per_chunk": 2.160337552742616, "acceptance_len": 2.165254237288136, "draft_acceptance_rate": 0.2330508474576271}
run=3 {"ttft_s": 0.3274899650023144, "decode_s": 24.25255599999946, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 242, "lail_tok_s": 21.11117690028265, "recipe_tok_s": 21.069944132899288, "tokens_per_chunk": 2.115702479338843, "acceptance_len": 2.12448132780083, "draft_acceptance_rate": 0.22489626556016598}
SUMMARY {
  "phase": "lail_prose",
  "concurrency": 1,
  "max_tokens": 512,
  "temperature": 0.2,
  "n": 3,
  "median_lail_tok_s": 21.245856248550346,
  "median_recipe_tok_s": 21.204360435564897,
  "median_ttft_s": 0.32709120100116706,
  "median_completion_tokens": 512,
  "median_acceptance_len": 2.165254237288136,
  "median_draft_acceptance_rate": 0.2330508474576271
}
