url=http://127.0.0.1:8000/v1/chat/completions model=deepseek-ai/DeepSeek-V4.1-Flash max_tokens=512 temperature=0.2 runs=3 phase=lail_prose c=1
run=1 {"ttft_s": 0.5384976599998481, "decode_s": 22.764876233000905, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 218, "lail_tok_s": 22.490787771461004, "recipe_tok_s": 22.44686045159487, "tokens_per_chunk": 2.3486238532110093, "acceptance_len": 2.354838709677419, "draft_acceptance_rate": 0.2709677419354839}
run=2 {"ttft_s": 0.4188495750004222, "decode_s": 23.861615255000288, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 229, "lail_tok_s": 21.457055380721073, "recipe_tok_s": 21.415147069430603, "tokens_per_chunk": 2.2358078602620086, "acceptance_len": 2.2412280701754383, "draft_acceptance_rate": 0.2482456140350877}
run=3 {"ttft_s": 0.3284339599995292, "decode_s": 22.60656376299994, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 217, "lail_tok_s": 22.648289468830644, "recipe_tok_s": 22.604054528461834, "tokens_per_chunk": 2.359447004608295, "acceptance_len": 2.3842592592592595, "draft_acceptance_rate": 0.27685185185185185}
SUMMARY {
  "phase": "lail_prose",
  "concurrency": 1,
  "max_tokens": 512,
  "temperature": 0.2,
  "n": 3,
  "median_lail_tok_s": 22.490787771461004,
  "median_recipe_tok_s": 22.44686045159487,
  "median_ttft_s": 0.4188495750004222,
  "median_completion_tokens": 512,
  "median_acceptance_len": 2.354838709677419,
  "median_draft_acceptance_rate": 0.2709677419354839
}
