url=http://127.0.0.1:8000/v1/chat/completions model=deepseek-ai/DeepSeek-V4.1-Flash max_tokens=512 temperature=0.2 runs=3 phase=lail_prose c=1
run=1 {"ttft_s": 0.3212305409979308, "decode_s": 25.963727954003843, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 246, "lail_tok_s": 19.7198183907579, "recipe_tok_s": 19.68130312046345, "tokens_per_chunk": 2.0813008130081303, "acceptance_len": 2.0857142857142854, "draft_acceptance_rate": 0.21714285714285714}
run=2 {"ttft_s": 0.3217222530001891, "decode_s": 23.30760909899982, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 226, "lail_tok_s": 21.96707512234582, "recipe_tok_s": 21.924170678747487, "tokens_per_chunk": 2.265486725663717, "acceptance_len": 2.2755555555555556, "draft_acceptance_rate": 0.2551111111111111}
run=3 {"ttft_s": 0.32069848899845965, "decode_s": 22.891187323999475, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 222, "lail_tok_s": 22.36668604180314, "recipe_tok_s": 22.32300110812774, "tokens_per_chunk": 2.3063063063063063, "acceptance_len": 2.3122171945701355, "draft_acceptance_rate": 0.26244343891402716}
SUMMARY {
  "phase": "lail_prose",
  "concurrency": 1,
  "max_tokens": 512,
  "temperature": 0.2,
  "n": 3,
  "median_lail_tok_s": 21.96707512234582,
  "median_recipe_tok_s": 21.924170678747487,
  "median_ttft_s": 0.3212305409979308,
  "median_completion_tokens": 512,
  "median_acceptance_len": 2.2755555555555556,
  "median_draft_acceptance_rate": 0.2551111111111111
}
