url=http://127.0.0.1:8000/v1/chat/completions model=deepseek-ai/DeepSeek-V4.1-Flash max_tokens=512 temperature=0.2 runs=3 phase=lail_prose c=1
run=1 {"ttft_s": 0.8054364329436794, "decode_s": 32.00411693006754, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 227, "lail_tok_s": 15.997941799762057, "recipe_tok_s": 15.966695819684396, "tokens_per_chunk": 2.2555066079295156, "acceptance_len": 2.278761061946903, "draft_acceptance_rate": 0.2557522123893805}
run=2 {"ttft_s": 0.3388696339679882, "decode_s": 32.49984628101811, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 233, "lail_tok_s": 15.753920666973714, "recipe_tok_s": 15.723151290671032, "tokens_per_chunk": 2.1974248927038627, "acceptance_len": 2.2025862068965516, "draft_acceptance_rate": 0.24051724137931035}
run=3 {"ttft_s": 0.44181735708843917, "decode_s": 29.161751210922375, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 210, "lail_tok_s": 17.55724463516557, "recipe_tok_s": 17.522953141737514, "tokens_per_chunk": 2.4380952380952383, "acceptance_len": 2.449760765550239, "draft_acceptance_rate": 0.28995215311004785}
SUMMARY {
  "phase": "lail_prose",
  "concurrency": 1,
  "max_tokens": 512,
  "temperature": 0.2,
  "n": 3,
  "median_lail_tok_s": 15.997941799762057,
  "median_recipe_tok_s": 15.966695819684396,
  "median_ttft_s": 0.44181735708843917,
  "median_completion_tokens": 512,
  "median_acceptance_len": 2.278761061946903,
  "median_draft_acceptance_rate": 0.2557522123893805
}
