url=http://127.0.0.1:8000/v1/chat/completions model=deepseek-ai/DeepSeek-V4.1-Flash max_tokens=512 temperature=0.2 runs=3 phase=lail_prose c=1
run=1 {"ttft_s": 0.5987655939534307, "decode_s": 33.23778692795895, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 214, "lail_tok_s": 15.404154347271419, "recipe_tok_s": 15.374068108311905, "tokens_per_chunk": 2.392523364485981, "acceptance_len": 2.403755868544601, "draft_acceptance_rate": 0.28075117370892017}
run=2 {"ttft_s": 0.46795264491811395, "decode_s": 35.6762905070791, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 229, "lail_tok_s": 14.351267823049202, "recipe_tok_s": 14.32323800308231, "tokens_per_chunk": 2.2358078602620086, "acceptance_len": 2.2358078602620086, "draft_acceptance_rate": 0.24716157205240175}
run=3 {"ttft_s": 0.4848022259538993, "decode_s": 33.90350984304678, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 220, "lail_tok_s": 15.101681282270112, "recipe_tok_s": 15.072185811015677, "tokens_per_chunk": 2.327272727272727, "acceptance_len": 2.3424657534246576, "draft_acceptance_rate": 0.2684931506849315}
SUMMARY {
  "phase": "lail_prose",
  "concurrency": 1,
  "max_tokens": 512,
  "temperature": 0.2,
  "n": 3,
  "median_lail_tok_s": 15.101681282270112,
  "median_recipe_tok_s": 15.072185811015677,
  "median_ttft_s": 0.4848022259538993,
  "median_completion_tokens": 512,
  "median_acceptance_len": 2.3424657534246576,
  "median_draft_acceptance_rate": 0.2684931506849315
}
