url=http://127.0.0.1:8000/v1/chat/completions model=deepseek-ai/DeepSeek-V4.1-Flash max_tokens=512 temperature=0.2 runs=3 phase=lail_prose c=1
run=1 {"ttft_s": 0.4116412859875709, "decode_s": 38.24541134596802, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 247, "lail_tok_s": 13.387226911182823, "recipe_tok_s": 13.36107998362192, "tokens_per_chunk": 2.0728744939271255, "acceptance_len": 2.0853658536585367, "draft_acceptance_rate": 0.21707317073170732}
run=2 {"ttft_s": 0.46095374098513275, "decode_s": 35.77611139998771, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 235, "lail_tok_s": 14.311225562657876, "recipe_tok_s": 14.283273950230809, "tokens_per_chunk": 2.178723404255319, "acceptance_len": 2.183760683760684, "draft_acceptance_rate": 0.23675213675213674}
run=3 {"ttft_s": 0.3312002549646422, "decode_s": 31.928179541951977, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 209, "lail_tok_s": 16.0359910068552, "recipe_tok_s": 16.004670711919932, "tokens_per_chunk": 2.449760765550239, "acceptance_len": 2.456730769230769, "draft_acceptance_rate": 0.29134615384615387}
SUMMARY {
  "phase": "lail_prose",
  "concurrency": 1,
  "max_tokens": 512,
  "temperature": 0.2,
  "n": 3,
  "median_lail_tok_s": 14.311225562657876,
  "median_recipe_tok_s": 14.283273950230809,
  "median_ttft_s": 0.4116412859875709,
  "median_completion_tokens": 512,
  "median_acceptance_len": 2.183760683760684,
  "median_draft_acceptance_rate": 0.23675213675213674
}
