url=http://127.0.0.1:8000/v1/chat/completions model=deepseek-ai/DeepSeek-V4.1-Flash max_tokens=512 temperature=0.2 runs=3 phase=lail_prose c=1
run=1 {"ttft_s": 0.3375669840024784, "decode_s": 47.38644182996359, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 227, "lail_tok_s": 10.804778333794417, "recipe_tok_s": 10.783675251111225, "tokens_per_chunk": 2.2555066079295156, "acceptance_len": 2.2610619469026547, "draft_acceptance_rate": 0.252212389380531}
run=2 {"ttft_s": 0.5219980080146343, "decode_s": 48.28489320690278, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 232, "lail_tok_s": 10.60373060795762, "recipe_tok_s": 10.583020196613953, "tokens_per_chunk": 2.206896551724138, "acceptance_len": 2.220779220779221, "draft_acceptance_rate": 0.24415584415584415}
run=3 {"ttft_s": 0.5248040769947693, "decode_s": 47.04459726496134, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 226, "lail_tok_s": 10.883290106966989, "recipe_tok_s": 10.862033680976818, "tokens_per_chunk": 2.265486725663717, "acceptance_len": 2.271111111111111, "draft_acceptance_rate": 0.25422222222222224}
SUMMARY {
  "phase": "lail_prose",
  "concurrency": 1,
  "max_tokens": 512,
  "temperature": 0.2,
  "n": 3,
  "median_lail_tok_s": 10.804778333794417,
  "median_recipe_tok_s": 10.783675251111225,
  "median_ttft_s": 0.5219980080146343,
  "median_completion_tokens": 512,
  "median_acceptance_len": 2.2610619469026547,
  "median_draft_acceptance_rate": 0.252212389380531
}
