url=http://127.0.0.1:8000/v1/chat/completions model=deepseek-ai/DeepSeek-V4.1-Flash max_tokens=512 temperature=0.2 runs=3 phase=lail_prose c=1
run=1 {"ttft_s": 0.33237503294367343, "decode_s": 31.23106070398353, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 221, "lail_tok_s": 16.393935667215242, "recipe_tok_s": 16.361916261615214, "tokens_per_chunk": 2.316742081447964, "acceptance_len": 2.331818181818182, "draft_acceptance_rate": 0.26636363636363636}
run=2 {"ttft_s": 0.4389505860162899, "decode_s": 29.472412424976937, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 210, "lail_tok_s": 17.372178178603942, "recipe_tok_s": 17.338248143098856, "tokens_per_chunk": 2.4380952380952383, "acceptance_len": 2.444976076555024, "draft_acceptance_rate": 0.2889952153110048}
run=3 {"ttft_s": 0.32294524693861604, "decode_s": 31.561741271987557, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 226, "lail_tok_s": 16.22217214151054, "recipe_tok_s": 16.190488211546654, "tokens_per_chunk": 2.265486725663717, "acceptance_len": 2.2800000000000002, "draft_acceptance_rate": 0.256}
SUMMARY {
  "phase": "lail_prose",
  "concurrency": 1,
  "max_tokens": 512,
  "temperature": 0.2,
  "n": 3,
  "median_lail_tok_s": 16.393935667215242,
  "median_recipe_tok_s": 16.361916261615214,
  "median_ttft_s": 0.33237503294367343,
  "median_completion_tokens": 512,
  "median_acceptance_len": 2.331818181818182,
  "median_draft_acceptance_rate": 0.26636363636363636
}
