url=http://127.0.0.1:8000/v1/chat/completions model=deepseek-ai/DeepSeek-V4.1-Flash max_tokens=512 temperature=0.2 runs=3 phase=lail_prose c=1
run=1 {"ttft_s": 0.3352661960525438, "decode_s": 36.49224950000644, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 237, "lail_tok_s": 14.030376505014022, "recipe_tok_s": 14.002973425902667, "tokens_per_chunk": 2.160337552742616, "acceptance_len": 2.169491525423729, "draft_acceptance_rate": 0.23389830508474577}
run=2 {"ttft_s": 0.473210733034648, "decode_s": 34.339039406972006, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 226, "lail_tok_s": 14.910143348274513, "recipe_tok_s": 14.881021974547414, "tokens_per_chunk": 2.265486725663717, "acceptance_len": 2.2800000000000002, "draft_acceptance_rate": 0.256}
run=3 {"ttft_s": 0.4707582669798285, "decode_s": 34.78994954004884, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 228, "lail_tok_s": 14.716894010168238, "recipe_tok_s": 14.688150076554628, "tokens_per_chunk": 2.245614035087719, "acceptance_len": 2.2643171806167404, "draft_acceptance_rate": 0.252863436123348}
SUMMARY {
  "phase": "lail_prose",
  "concurrency": 1,
  "max_tokens": 512,
  "temperature": 0.2,
  "n": 3,
  "median_lail_tok_s": 14.716894010168238,
  "median_recipe_tok_s": 14.688150076554628,
  "median_ttft_s": 0.4707582669798285,
  "median_completion_tokens": 512,
  "median_acceptance_len": 2.2643171806167404,
  "median_draft_acceptance_rate": 0.252863436123348
}
