url=http://127.0.0.1:8000/v1/chat/completions model=deepseek-ai/DeepSeek-V4.1-Flash max_tokens=512 temperature=0.2 runs=3 phase=lail_prose c=1
run=1 {"ttft_s": 0.32479736900131684, "decode_s": 21.042397012999572, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 205, "lail_tok_s": 24.331828721019598, "recipe_tok_s": 24.284305618048858, "tokens_per_chunk": 2.497560975609756, "acceptance_len": 2.514705882352941, "draft_acceptance_rate": 0.3029411764705882}
run=2 {"ttft_s": 0.41884345300059067, "decode_s": 23.520123615999182, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 228, "lail_tok_s": 21.76859307200751, "recipe_tok_s": 21.726076288663744, "tokens_per_chunk": 2.245614035087719, "acceptance_len": 2.251101321585903, "draft_acceptance_rate": 0.25022026431718064}
run=3 {"ttft_s": 0.40627669600144145, "decode_s": 21.69652441300059, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 213, "lail_tok_s": 23.598249666808794, "recipe_tok_s": 23.552159335428307, "tokens_per_chunk": 2.403755868544601, "acceptance_len": 2.419811320754717, "draft_acceptance_rate": 0.2839622641509434}
SUMMARY {
  "phase": "lail_prose",
  "concurrency": 1,
  "max_tokens": 512,
  "temperature": 0.2,
  "n": 3,
  "median_lail_tok_s": 23.598249666808794,
  "median_recipe_tok_s": 23.552159335428307,
  "median_ttft_s": 0.40627669600144145,
  "median_completion_tokens": 512,
  "median_acceptance_len": 2.419811320754717,
  "median_draft_acceptance_rate": 0.2839622641509434
}
