2026/09/25 01:26:10.828, 2190 MHz, [N/A], 16.20 W, 0 %, 53, 0x0000000000000000
2026/09/25 01:26:11.343, 2190 MHz, [N/A], 25.88 W, 90 %, 53, 0x0000000000000000
2026/09/25 01:26:11.843, 2190 MHz, [N/A], 30.07 W, 90 %, 53, 0x0000000000000000
2026/09/25 01:26:12.343, 2190 MHz, [N/A], 29.66 W, 85 %, 53, 0x0000000000000000
2026/09/25 01:26:12.844, 2190 MHz, [N/A], 29.74 W, 85 %, 54, 0x0000000000000000
2026/09/25 01:26:13.344, 2190 MHz, [N/A], 30.05 W, 86 %, 53, 0x0000000000000000
2026/09/25 01:26:13.844, 2190 MHz, [N/A], 30.51 W, 86 %, 54, 0x0000000000000000
2026/09/25 01:26:14.345, 2190 MHz, [N/A], 30.44 W, 91 %, 54, 0x0000000000000000
2026/09/25 01:26:14.845, 2190 MHz, [N/A], 30.28 W, 91 %, 53, 0x0000000000000000
2026/09/25 01:26:15.346, 2190 MHz, [N/A], 30.52 W, 91 %, 55, 0x0000000000000000
2026/09/25 01:26:15.846, 2190 MHz, [N/A], 30.21 W, 91 %, 54, 0x0000000000000000
2026/09/25 01:26:16.347, 2190 MHz, [N/A], 30.27 W, 90 %, 55, 0x0000000000000000
2026/09/25 01:26:16.847, 2190 MHz, [N/A], 30.18 W, 90 %, 55, 0x0000000000000000
2026/09/25 01:26:17.347, 2190 MHz, [N/A], 30.55 W, 91 %, 55, 0x0000000000000000
2026/09/25 01:26:17.848, 2190 MHz, [N/A], 30.71 W, 91 %, 55, 0x0000000000000000
2026/09/25 01:26:18.348, 2190 MHz, [N/A], 30.48 W, 88 %, 55, 0x0000000000000000
2026/09/25 01:26:18.849, 2190 MHz, [N/A], 30.56 W, 88 %, 55, 0x0000000000000000
2026/09/25 01:26:19.350, 2190 MHz, [N/A], 30.54 W, 87 %, 55, 0x0000000000000000
2026/09/25 01:26:19.850, 2190 MHz, [N/A], 30.77 W, 87 %, 56, 0x0000000000000000
2026/09/25 01:26:20.351, 2190 MHz, [N/A], 30.83 W, 91 %, 56, 0x0000000000000000
2026/09/25 01:26:20.852, 2190 MHz, [N/A], 30.73 W, 91 %, 55, 0x0000000000000000
2026/09/25 01:26:21.353, 2190 MHz, [N/A], 30.80 W, 90 %, 56, 0x0000000000000000
2026/09/25 01:26:21.854, 2190 MHz, [N/A], 30.78 W, 90 %, 56, 0x0000000000000000
2026/09/25 01:26:22.354, 2190 MHz, [N/A], 30.62 W, 86 %, 55, 0x0000000000000000
2026/09/25 01:26:22.855, 2190 MHz, [N/A], 31.02 W, 86 %, 56, 0x0000000000000000
2026/09/25 01:26:23.356, 2190 MHz, [N/A], 30.84 W, 88 %, 56, 0x0000000000000000
2026/09/25 01:26:23.857, 2190 MHz, [N/A], 30.88 W, 88 %, 56, 0x0000000000000000
2026/09/25 01:26:24.357, 2190 MHz, [N/A], 31.16 W, 91 %, 56, 0x0000000000000000
2026/09/25 01:26:24.858, 2190 MHz, [N/A], 30.92 W, 91 %, 56, 0x0000000000000000
2026/09/25 01:26:25.358, 2190 MHz, [N/A], 30.62 W, 85 %, 55, 0x0000000000000000
2026/09/25 01:26:25.859, 2190 MHz, [N/A], 30.38 W, 85 %, 56, 0x0000000000000000
2026/09/25 01:26:26.360, 2190 MHz, [N/A], 30.29 W, 78 %, 55, 0x0000000000000000
2026/09/25 01:26:26.860, 2190 MHz, [N/A], 31.97 W, 78 %, 57, 0x0000000000000000
2026/09/25 01:26:27.360, 2190 MHz, [N/A], 31.79 W, 86 %, 56, 0x0000000000000000
2026/09/25 01:26:27.860, 2190 MHz, [N/A], 30.45 W, 86 %, 57, 0x0000000000000000
2026/09/25 01:26:28.361, 2190 MHz, [N/A], 30.45 W, 85 %, 56, 0x0000000000000000
2026/09/25 01:26:28.861, 2190 MHz, [N/A], 30.05 W, 85 %, 57, 0x0000000000000000
2026/09/25 01:26:29.361, 2190 MHz, [N/A], 30.21 W, 86 %, 56, 0x0000000000000000
2026/09/25 01:26:29.862, 2190 MHz, [N/A], 30.81 W, 86 %, 57, 0x0000000000000000
2026/09/25 01:26:30.363, 2190 MHz, [N/A], 30.88 W, 86 %, 57, 0x0000000000000000
2026/09/25 01:26:30.863, 2190 MHz, [N/A], 30.73 W, 86 %, 56, 0x0000000000000000
2026/09/25 01:26:31.363, 2190 MHz, [N/A], 30.72 W, 87 %, 57, 0x0000000000000000
2026/09/25 01:26:31.863, 2190 MHz, [N/A], 30.67 W, 87 %, 56, 0x0000000000000000
2026/09/25 01:26:32.364, 2190 MHz, [N/A], 31.25 W, 90 %, 58, 0x0000000000000000
2026/09/25 01:26:32.864, 2190 MHz, [N/A], 30.74 W, 90 %, 57, 0x0000000000000000
