url=http://127.0.0.1:8000/v1/chat/completions model=deepseek-ai/DeepSeek-V4.1-Flash max_tokens=512 temperature=0.2 runs=3 phase=lail_prose c=1
run=1 {"ttft_s": 0.6253157179999107, "decode_s": 22.389060620000237, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 218, "lail_tok_s": 22.86831094390036, "recipe_tok_s": 22.823646274088055, "tokens_per_chunk": 2.3486238532110093, "acceptance_len": 2.3686635944700463, "draft_acceptance_rate": 0.27373271889400924}
run=2 {"ttft_s": 0.31515720799870905, "decode_s": 22.50708170500002, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 217, "lail_tok_s": 22.748395669895203, "recipe_tok_s": 22.70396520960244, "tokens_per_chunk": 2.359447004608295, "acceptance_len": 2.388888888888889, "draft_acceptance_rate": 0.2777777777777778}
run=3 {"ttft_s": 0.3260079410028993, "decode_s": 21.28321927899742, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 207, "lail_tok_s": 24.05651106105216, "recipe_tok_s": 24.00952568788604, "tokens_per_chunk": 2.473429951690821, "acceptance_len": 2.4854368932038833, "draft_acceptance_rate": 0.2970873786407767}
SUMMARY {
  "phase": "lail_prose",
  "concurrency": 1,
  "max_tokens": 512,
  "temperature": 0.2,
  "n": 3,
  "median_lail_tok_s": 22.86831094390036,
  "median_recipe_tok_s": 22.823646274088055,
  "median_ttft_s": 0.3260079410028993,
  "median_completion_tokens": 512,
  "median_acceptance_len": 2.388888888888889,
  "median_draft_acceptance_rate": 0.2777777777777778
}
