url=http://127.0.0.1:8000/v1/chat/completions model=deepseek-ai/DeepSeek-V4.1-Flash max_tokens=512 temperature=0.2 runs=3 phase=lail_prose c=1
run=1 {"ttft_s": 0.3348504320019856, "decode_s": 35.393792760092765, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 227, "lail_tok_s": 14.4658133551963, "recipe_tok_s": 14.437559813486931, "tokens_per_chunk": 2.2555066079295156, "acceptance_len": 2.2610619469026547, "draft_acceptance_rate": 0.252212389380531}
run=2 {"ttft_s": 0.332541530020535, "decode_s": 33.86171731399372, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 219, "lail_tok_s": 15.120319954605801, "recipe_tok_s": 15.09078807969446, "tokens_per_chunk": 2.3378995433789953, "acceptance_len": 2.362385321100917, "draft_acceptance_rate": 0.2724770642201835}
run=3 {"ttft_s": 0.33307679602876306, "decode_s": 32.237448141910136, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 208, "lail_tok_s": 15.882150403039406, "recipe_tok_s": 15.85113057803347, "tokens_per_chunk": 2.4615384615384617, "acceptance_len": 2.4734299516908216, "draft_acceptance_rate": 0.2946859903381642}
SUMMARY {
  "phase": "lail_prose",
  "concurrency": 1,
  "max_tokens": 512,
  "temperature": 0.2,
  "n": 3,
  "median_lail_tok_s": 15.120319954605801,
  "median_recipe_tok_s": 15.09078807969446,
  "median_ttft_s": 0.33307679602876306,
  "median_completion_tokens": 512,
  "median_acceptance_len": 2.362385321100917,
  "median_draft_acceptance_rate": 0.2724770642201835
}
