url=http://127.0.0.1:8000/v1/chat/completions model=deepseek-ai/DeepSeek-V4.1-Flash max_tokens=512 temperature=0.2 runs=3 phase=lail_prose c=1
run=1 {"ttft_s": 0.32540636404883116, "decode_s": 35.50106331799179, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 231, "lail_tok_s": 14.422103231497308, "recipe_tok_s": 14.39393506112329, "tokens_per_chunk": 2.2164502164502164, "acceptance_len": 2.226086956521739, "draft_acceptance_rate": 0.24521739130434783}
run=2 {"ttft_s": 0.47136339999269694, "decode_s": 35.161832683952525, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 230, "lail_tok_s": 14.561243283364783, "recipe_tok_s": 14.532803355076961, "tokens_per_chunk": 2.226086956521739, "acceptance_len": 2.2401746724890828, "draft_acceptance_rate": 0.2480349344978166}
run=3 {"ttft_s": 0.474504602025263, "decode_s": 33.51529468293302, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 221, "lail_tok_s": 15.276607436804833, "recipe_tok_s": 15.246770312904824, "tokens_per_chunk": 2.316742081447964, "acceptance_len": 2.327272727272727, "draft_acceptance_rate": 0.26545454545454544}
SUMMARY {
  "phase": "lail_prose",
  "concurrency": 1,
  "max_tokens": 512,
  "temperature": 0.2,
  "n": 3,
  "median_lail_tok_s": 14.561243283364783,
  "median_recipe_tok_s": 14.532803355076961,
  "median_ttft_s": 0.47136339999269694,
  "median_completion_tokens": 512,
  "median_acceptance_len": 2.2401746724890828,
  "median_draft_acceptance_rate": 0.2480349344978166
}
