timestamp, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, utilization.gpu [%]
2026/09/24 19:53:53.992, 2184 MHz, [N/A], 28.96 W, 48, 78 %
2026/09/24 19:53:55.028, 2184 MHz, [N/A], 28.80 W, 48, 78 %
2026/09/24 19:53:56.028, 2184 MHz, [N/A], 29.61 W, 49, 88 %
2026/09/24 19:53:57.028, 2184 MHz, [N/A], 28.78 W, 50, 84 %
2026/09/24 19:53:58.029, 2184 MHz, [N/A], 28.99 W, 51, 89 %
2026/09/24 19:53:59.029, 2184 MHz, [N/A], 29.40 W, 50, 90 %
2026/09/24 19:54:00.029, 2184 MHz, [N/A], 29.39 W, 51, 87 %
2026/09/24 19:54:01.029, 2184 MHz, [N/A], 29.66 W, 51, 87 %
2026/09/24 19:54:02.030, 2184 MHz, [N/A], 29.70 W, 52, 91 %
2026/09/24 19:54:03.030, 2184 MHz, [N/A], 29.41 W, 52, 76 %
2026/09/24 19:54:04.031, 2184 MHz, [N/A], 29.70 W, 52, 82 %
2026/09/24 19:54:05.031, 2184 MHz, [N/A], 32.17 W, 53, 83 %
2026/09/24 19:54:06.031, 2184 MHz, [N/A], 29.44 W, 52, 85 %
2026/09/24 19:54:07.031, 2184 MHz, [N/A], 29.68 W, 51, 80 %
2026/09/24 19:54:08.032, 2184 MHz, [N/A], 29.74 W, 53, 92 %
2026/09/24 19:54:09.032, 2184 MHz, [N/A], 29.02 W, 51, 87 %
2026/09/24 19:54:10.032, 2184 MHz, [N/A], 29.57 W, 53, 87 %
2026/09/24 19:54:11.032, 2177 MHz, [N/A], 30.05 W, 51, 87 %
2026/09/24 19:54:12.033, 2177 MHz, [N/A], 30.42 W, 54, 86 %
2026/09/24 19:54:13.033, 2184 MHz, [N/A], 30.09 W, 54, 83 %
2026/09/24 19:54:14.033, 2177 MHz, [N/A], 30.33 W, 54, 85 %
2026/09/24 19:54:15.033, 2177 MHz, [N/A], 29.98 W, 54, 83 %
2026/09/24 19:54:16.034, 2177 MHz, [N/A], 29.67 W, 54, 80 %
2026/09/24 19:54:17.034, 2184 MHz, [N/A], 30.34 W, 55, 89 %
2026/09/24 19:54:18.034, 2177 MHz, [N/A], 29.92 W, 55, 82 %
2026/09/24 19:54:19.034, 2177 MHz, [N/A], 29.96 W, 54, 89 %
2026/09/24 19:54:20.034, 2177 MHz, [N/A], 30.52 W, 55, 87 %
2026/09/24 19:54:21.034, 2177 MHz, [N/A], 29.89 W, 55, 84 %
2026/09/24 19:54:22.035, 2184 MHz, [N/A], 33.33 W, 56, 80 %
2026/09/24 19:54:23.035, 2177 MHz, [N/A], 30.75 W, 55, 92 %
2026/09/24 19:54:24.035, 2177 MHz, [N/A], 30.12 W, 55, 93 %
