url=http://127.0.0.1:8000/v1/chat/completions model=deepseek-ai/DeepSeek-V4.1-Flash max_tokens=512 temperature=0.2 runs=3 phase=lail_prose c=1
run=1 {"ttft_s": 0.6406426539178938, "decode_s": 35.220126098021865, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 228, "lail_tok_s": 14.537142728423008, "recipe_tok_s": 14.508749871531558, "tokens_per_chunk": 2.245614035087719, "acceptance_len": 2.2643171806167404, "draft_acceptance_rate": 0.252863436123348}
run=2 {"ttft_s": 0.4712015619734302, "decode_s": 34.07766861305572, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 217, "lail_tok_s": 15.024501993186362, "recipe_tok_s": 14.99515726273092, "tokens_per_chunk": 2.359447004608295, "acceptance_len": 2.3657407407407405, "draft_acceptance_rate": 0.27314814814814814}
run=3 {"ttft_s": 0.4833533699857071, "decode_s": 37.22661900694948, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 242, "lail_tok_s": 13.753599270038992, "recipe_tok_s": 13.726736771464697, "tokens_per_chunk": 2.115702479338843, "acceptance_len": 2.120331950207469, "draft_acceptance_rate": 0.22406639004149378}
SUMMARY {
  "phase": "lail_prose",
  "concurrency": 1,
  "max_tokens": 512,
  "temperature": 0.2,
  "n": 3,
  "median_lail_tok_s": 14.537142728423008,
  "median_recipe_tok_s": 14.508749871531558,
  "median_ttft_s": 0.4833533699857071,
  "median_completion_tokens": 512,
  "median_acceptance_len": 2.2643171806167404,
  "median_draft_acceptance_rate": 0.252863436123348
}
