url=http://127.0.0.1:8000/v1/chat/completions model=deepseek-ai/DeepSeek-V4.1-Flash max_tokens=512 temperature=0.2 runs=3 phase=lail_prose c=1
run=1 {"ttft_s": 0.6144365819636732, "decode_s": 29.23235460196156, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 209, "lail_tok_s": 17.514839532140993, "recipe_tok_s": 17.48063086117978, "tokens_per_chunk": 2.449760765550239, "acceptance_len": 2.4711538461538463, "draft_acceptance_rate": 0.29423076923076924}
run=2 {"ttft_s": 0.4491097260033712, "decode_s": 30.974543789983727, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 221, "lail_tok_s": 16.529702696236836, "recipe_tok_s": 16.49741812065825, "tokens_per_chunk": 2.316742081447964, "acceptance_len": 2.327272727272727, "draft_acceptance_rate": 0.26545454545454544}
run=3 {"ttft_s": 0.32720433408394456, "decode_s": 28.136394073953852, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 201, "lail_tok_s": 18.19707239862565, "recipe_tok_s": 18.161531241597086, "tokens_per_chunk": 2.5472636815920398, "acceptance_len": 2.5549999999999997, "draft_acceptance_rate": 0.311}
SUMMARY {
  "phase": "lail_prose",
  "concurrency": 1,
  "max_tokens": 512,
  "temperature": 0.2,
  "n": 3,
  "median_lail_tok_s": 17.514839532140993,
  "median_recipe_tok_s": 17.48063086117978,
  "median_ttft_s": 0.4491097260033712,
  "median_completion_tokens": 512,
  "median_acceptance_len": 2.4711538461538463,
  "median_draft_acceptance_rate": 0.29423076923076924
}
