url=http://127.0.0.1:8000/v1/chat/completions model=deepseek-ai/DeepSeek-V4.1-Flash max_tokens=512 temperature=0.2 runs=3 phase=lail_prose c=1
run=1 {"ttft_s": 0.32658911403268576, "decode_s": 36.99672798393294, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 221, "lail_tok_s": 13.839061665733063, "recipe_tok_s": 13.812032248417177, "tokens_per_chunk": 2.316742081447964, "acceptance_len": 2.3227272727272728, "draft_acceptance_rate": 0.26454545454545453}
run=2 {"ttft_s": 0.48555315693374723, "decode_s": 36.95541683107149, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 224, "lail_tok_s": 13.854531863093994, "recipe_tok_s": 13.827472230548889, "tokens_per_chunk": 2.2857142857142856, "acceptance_len": 2.291479820627803, "draft_acceptance_rate": 0.25829596412556055}
run=3 {"ttft_s": 0.49694726790767163, "decode_s": 40.15186205203645, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 239, "lail_tok_s": 12.751587942209321, "recipe_tok_s": 12.726682497009694, "tokens_per_chunk": 2.1422594142259412, "acceptance_len": 2.1470588235294117, "draft_acceptance_rate": 0.22941176470588234}
SUMMARY {
  "phase": "lail_prose",
  "concurrency": 1,
  "max_tokens": 512,
  "temperature": 0.2,
  "n": 3,
  "median_lail_tok_s": 13.839061665733063,
  "median_recipe_tok_s": 13.812032248417177,
  "median_ttft_s": 0.48555315693374723,
  "median_completion_tokens": 512,
  "median_acceptance_len": 2.291479820627803,
  "median_draft_acceptance_rate": 0.25829596412556055
}
