url=http://127.0.0.1:8000/v1/chat/completions model=deepseek-ai/DeepSeek-V4.1-Flash max_tokens=512 temperature=0.2 runs=3 phase=lail_prose c=1
run=1 {"ttft_s": 0.6289678529974481, "decode_s": 24.113736990002508, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 229, "lail_tok_s": 21.232710641750543, "recipe_tok_s": 21.191240503778374, "tokens_per_chunk": 2.2358078602620086, "acceptance_len": 2.25, "draft_acceptance_rate": 0.25}
run=2 {"ttft_s": 0.4068042440012505, "decode_s": 24.114185642996745, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 235, "lail_tok_s": 21.2323155996228, "recipe_tok_s": 21.19084623321729, "tokens_per_chunk": 2.178723404255319, "acceptance_len": 2.183760683760684, "draft_acceptance_rate": 0.23675213675213674}
run=3 {"ttft_s": 0.32164971299789613, "decode_s": 24.411553653000738, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 243, "lail_tok_s": 20.97367530464672, "recipe_tok_s": 20.932711095067333, "tokens_per_chunk": 2.1069958847736627, "acceptance_len": 2.1115702479338845, "draft_acceptance_rate": 0.22231404958677686}
SUMMARY {
  "phase": "lail_prose",
  "concurrency": 1,
  "max_tokens": 512,
  "temperature": 0.2,
  "n": 3,
  "median_lail_tok_s": 21.2323155996228,
  "median_recipe_tok_s": 21.19084623321729,
  "median_ttft_s": 0.4068042440012505,
  "median_completion_tokens": 512,
  "median_acceptance_len": 2.183760683760684,
  "median_draft_acceptance_rate": 0.23675213675213674
}
