url=http://127.0.0.1:8000/v1/chat/completions model=deepseek-ai/DeepSeek-V4.1-Flash max_tokens=512 temperature=0.2 runs=3 phase=lail_prose c=1
run=1 {"ttft_s": 0.8843728270003339, "decode_s": 7.318983299002866, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 87, "lail_tok_s": 69.95507150149592, "recipe_tok_s": 69.81844050246956, "tokens_per_chunk": 5.885057471264368, "acceptance_len": 5.941860465116279, "draft_acceptance_rate": 0.9883720930232558}
run=2 {"ttft_s": 0.39991317699605133, "decode_s": 7.242438159002631, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 87, "lail_tok_s": 70.69442482757884, "recipe_tok_s": 70.55634977908747, "tokens_per_chunk": 5.885057471264368, "acceptance_len": 5.941860465116279, "draft_acceptance_rate": 0.9883720930232558}
run=3 {"ttft_s": 0.3984491720038932, "decode_s": 7.32312008900044, "prompt_tokens": 61, "completion_tokens": 512, "chunks": 87, "lail_tok_s": 69.91555426887514, "recipe_tok_s": 69.77900045194374, "tokens_per_chunk": 5.885057471264368, "acceptance_len": 5.941860465116279, "draft_acceptance_rate": 0.9883720930232558}
SUMMARY {
  "phase": "lail_prose",
  "concurrency": 1,
  "max_tokens": 512,
  "temperature": 0.2,
  "n": 3,
  "median_lail_tok_s": 69.95507150149592,
  "median_recipe_tok_s": 69.81844050246956,
  "median_ttft_s": 0.39991317699605133,
  "median_completion_tokens": 512,
  "median_acceptance_len": 5.941860465116279,
  "median_draft_acceptance_rate": 0.9883720930232558
}
